longitude,latitude,Depth,Time,Salinity
-68.69000244,44.15000153,0.494024992,6/16/2023,29.96287537
-68.69000244,44.15000153,1.541375041,6/16/2023,29.97179604
-68.69000244,44.15000153,2.645668983,6/16/2023,30.00016785
-68.69000244,44.15000153,3.819494963,6/16/2023,30.0547657
-68.69000244,44.15000153,5.078224182,6/16/2023,30.14922523
-68.69000244,44.15000153,6.440614223,6/16/2023,30.25523376
-68.69000244,44.15000153,0.494024992,6/17/2023,29.99630547
-68.69000244,44.15000153,1.541375041,6/17/2023,29.99694443
-68.69000244,44.15000153,2.645668983,6/17/2023,30.00283241
-68.69000244,44.15000153,3.819494963,6/17/2023,30.040411
-68.69000244,44.15000153,5.078224182,6/17/2023,30.10015106
-68.69000244,44.15000153,6.440614223,6/17/2023,30.13614464
-68.69000244,44.15000153,0.494024992,6/18/2023,30.25769806
-68.69000244,44.15000153,1.541375041,6/18/2023,30.25789642
-68.69000244,44.15000153,2.645668983,6/18/2023,30.25808525
-68.69000244,44.15000153,3.819494963,6/18/2023,30.25826645
-68.69000244,44.15000153,5.078224182,6/18/2023,30.25847054
-68.69000244,44.15000153,6.440614223,6/18/2023,30.25890732
-68.69000244,44.15000153,0.494024992,6/19/2023,30.39757919
-68.69000244,44.15000153,1.541375041,6/19/2023,30.39823151
-68.69000244,44.15000153,2.645668983,6/19/2023,30.39816856
-68.69000244,44.15000153,3.819494963,6/19/2023,30.39946747
-68.69000244,44.15000153,5.078224182,6/19/2023,30.40339088
-68.69000244,44.15000153,6.440614223,6/19/2023,30.41435814
-68.69000244,44.15000153,0.494024992,6/20/2023,30.24286842
-68.69000244,44.15000153,1.541375041,6/20/2023,30.25434494
-68.69000244,44.15000153,2.645668983,6/20/2023,30.27643776
-68.69000244,44.15000153,3.819494963,6/20/2023,30.32431602
-68.69000244,44.15000153,5.078224182,6/20/2023,30.38407326
-68.69000244,44.15000153,6.440614223,6/20/2023,30.41514969
-68.69000244,44.15000153,0.494024992,6/21/2023,29.91599274
-68.69000244,44.15000153,1.541375041,6/21/2023,29.93392181
-68.69000244,44.15000153,2.645668983,6/21/2023,30.001297
-68.69000244,44.15000153,3.819494963,6/21/2023,30.14215279
-68.69000244,44.15000153,5.078224182,6/21/2023,30.31060791
-68.69000244,44.15000153,6.440614223,6/21/2023,30.39414024
-68.69000244,44.15000153,0.494024992,6/22/2023,29.58025932
-68.69000244,44.15000153,1.541375041,6/22/2023,29.58115768
-68.69000244,44.15000153,2.645668983,6/22/2023,29.59535408
-68.69000244,44.15000153,3.819494963,6/22/2023,29.74868393
-68.69000244,44.15000153,5.078224182,6/22/2023,30.01705551
-68.69000244,44.15000153,6.440614223,6/22/2023,30.2664814
-68.69000244,44.15000153,0.494024992,6/23/2023,29.40520477
-68.69000244,44.15000153,1.541375041,6/23/2023,29.40971947
-68.69000244,44.15000153,2.645668983,6/23/2023,29.43891716
-68.69000244,44.15000153,3.819494963,6/23/2023,29.56484413
-68.69000244,44.15000153,5.078224182,6/23/2023,29.88529015
-68.69000244,44.15000153,6.440614223,6/23/2023,30.0814209
-68.69000244,44.15000153,0.494024992,6/24/2023,29.51775551
-68.69000244,44.15000153,1.541375041,6/24/2023,29.51862335
-68.69000244,44.15000153,2.645668983,6/24/2023,29.52020073
-68.69000244,44.15000153,3.819494963,6/24/2023,29.52796364
