GOTeDNA_ID,GOTeDNA_version,basisOfRecord,replicate,materialSampleID,eventID,recordedBy,target_gene,target_subfragment,scientificName,taxonID,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,quantificationCycle,concentrationUnit,concentration,pcr_primer_lod,thresholdQuantificationCycle,baselineValue
11,,MaterialSample,2,BOF-23-09,11-BOF-23-09-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-09-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-09,11-BOF-23-09-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-09-3-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,1,BOF-23-11,11-BOF-23-11-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-11-1-Cmae,,,copies/L,8495.100621,3.09,,
11,,MaterialSample,2,BOF-23-11,11-BOF-23-11-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-11-2-Cmae,,,copies/L,7425.924414,3.09,,
11,,MaterialSample,3,BOF-23-11,11-BOF-23-11-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-11-3-Cmae,,,copies/L,7594.701695,3.09,,
11,,MaterialSample,1,BOF-23-12,11-BOF-23-12-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-12-1-Cmae,,,copies/L,391.1899941,3.09,,
11,,MaterialSample,2,BOF-23-12,11-BOF-23-12-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-12-2-Cmae,,,copies/L,721.82411,3.09,,
11,,MaterialSample,3,BOF-23-12,11-BOF-23-12-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-12-3-Cmae,,,copies/L,477.7116229,3.09,,
11,,MaterialSample,1,BOF-23-13,11-BOF-23-13-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-13-1-Cmae,,,copies/L,347.8102981,3.09,,
11,,MaterialSample,2,BOF-23-13,11-BOF-23-13-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-13-2-Cmae,,,copies/L,453.9880812,3.09,,
11,,MaterialSample,3,BOF-23-13,11-BOF-23-13-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-13-3-Cmae,,,copies/L,359.3252512,3.09,,
11,,MaterialSample,1,BOF-23-14,11-BOF-23-14-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-14-1-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,2,BOF-23-14,11-BOF-23-14-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-14-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-14,11-BOF-23-14-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-14-3-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,1,BOF-23-15,11-BOF-23-15-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-15-1-Cmae,,,copies/L,493.4329468,3.09,,
11,,MaterialSample,2,BOF-23-15,11-BOF-23-15-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-15-2-Cmae,,,copies/L,377.1477934,3.09,,
