longitude,latitude,Depth,Time,Salinity
-68.66000366,44.15000153,2.645668983,6/30/2023,29.97750282
-68.66000366,44.15000153,3.819494963,6/30/2023,29.97822189
-68.66000366,44.15000153,5.078224182,6/30/2023,29.97907066
-68.66000366,44.15000153,6.440614223,6/30/2023,29.98019409
-68.66000366,44.15000153,0.494024992,7/1/2023,30.118536
-68.66000366,44.15000153,1.541375041,7/1/2023,30.12733841
-68.66000366,44.15000153,2.645668983,7/1/2023,30.13534546
-68.66000366,44.15000153,3.819494963,7/1/2023,30.1363945
-68.66000366,44.15000153,5.078224182,7/1/2023,30.13492966
-68.66000366,44.15000153,6.440614223,7/1/2023,30.13365173
-68.66000366,44.15000153,0.494024992,7/2/2023,30.21629143
-68.66000366,44.15000153,1.541375041,7/2/2023,30.22138786
-68.66000366,44.15000153,2.645668983,7/2/2023,30.23228455
-68.66000366,44.15000153,3.819494963,7/2/2023,30.24063683
-68.66000366,44.15000153,5.078224182,7/2/2023,30.24092865
-68.66000366,44.15000153,6.440614223,7/2/2023,30.23950958
-68.66000366,44.15000153,0.494024992,7/3/2023,30.23049355
-68.66000366,44.15000153,1.541375041,7/3/2023,30.25115395
-68.66000366,44.15000153,2.645668983,7/3/2023,30.27353287
-68.66000366,44.15000153,3.819494963,7/3/2023,30.2891922
-68.66000366,44.15000153,5.078224182,7/3/2023,30.29284096
-68.66000366,44.15000153,6.440614223,7/3/2023,30.29366112
-68.66000366,44.15000153,0.494024992,7/4/2023,30.09871292
-68.66000366,44.15000153,1.541375041,7/4/2023,30.17378616
-68.66000366,44.15000153,2.645668983,7/4/2023,30.23294449
-68.66000366,44.15000153,3.819494963,7/4/2023,30.27312851
-68.66000366,44.15000153,5.078224182,7/4/2023,30.28027725
-68.66000366,44.15000153,6.440614223,7/4/2023,30.28213501
-68.66000366,44.15000153,0.494024992,7/5/2023,29.94735718
-68.66000366,44.15000153,1.541375041,7/5/2023,29.97471237
-68.66000366,44.15000153,2.645668983,7/5/2023,30.12548065
-68.66000366,44.15000153,3.819494963,7/5/2023,30.23005295
-68.66000366,44.15000153,5.078224182,7/5/2023,30.25459671
-68.66000366,44.15000153,6.440614223,7/5/2023,30.26084709
-68.66000366,44.15000153,0.494024992,7/6/2023,29.88646317
-68.66000366,44.15000153,1.541375041,7/6/2023,29.92244148
-68.66000366,44.15000153,2.645668983,7/6/2023,30.06430626
-68.66000366,44.15000153,3.819494963,7/6/2023,30.16158104
-68.66000366,44.15000153,5.078224182,7/6/2023,30.19098282
-68.66000366,44.15000153,6.440614223,7/6/2023,30.1982975
-68.66000366,44.15000153,0.494024992,7/7/2023,29.82269669
-68.66000366,44.15000153,1.541375041,7/7/2023,29.82397842
-68.66000366,44.15000153,2.645668983,7/7/2023,29.88153458
-68.66000366,44.15000153,3.819494963,7/7/2023,30.03751183
-68.66000366,44.15000153,5.078224182,7/7/2023,30.14691353
-68.66000366,44.15000153,6.440614223,7/7/2023,30.16164589
-68.66000366,44.15000153,0.494024992,7/8/2023,29.76957893
-68.66000366,44.15000153,1.541375041,7/8/2023,29.77256966
-68.66000366,44.15000153,2.645668983,7/8/2023,29.80019569
-68.66000366,44.15000153,3.819494963,7/8/2023,29.89941597
-68.66000366,44.15000153,5.078224182,7/8/2023,30.04566383
-68.66000366,44.15000153,6.440614223,7/8/2023,30.10347939
-68.66000366,44.15000153,0.494024992,7/9/2023,29.93686295
-68.66000366,44.15000153,1.541375041,7/9/2023,29.93907356
-68.66000366,44.15000153,2.645668983,7/9/2023,29.95017052
-68.66000366,44.15000153,3.819494963,7/9/2023,29.98528671
-68.66000366,44.15000153,5.078224182,7/9/2023,30.05838203
